vendor_id,name,lead_time_days,unit_price,on_time_delivery_rate,quality_score,avg_delay_days,reliability_rating,return_acceptance_rate,total_shipments_last_year,payment_terms_days,bulk_discount_percent,min_order_qty
V001,Bajaj Electricals Ltd,7,2500,92.2,3.7,1.1,average,88.3,238,15,7.4,10
V002,Havells India Pvt Ltd,5,2800,91.4,3.7,0.4,average,88.5,204,15,6.5,100
V003,Crompton Greaves,6,2600,85.5,4.5,3.2,average,85.1,90,60,4.7,20
V004,Usha International,8,2400,85.4,4.7,0.4,average,90.7,141,45,6.8,10
V005,Orient Electric,7,2300,93.7,4.4,3.9,good,90.7,191,45,8.6,50
V006,Philips India Ltd,10,3200,91.2,4.6,0.2,good,88.4,124,15,8.8,10
V007,Wipro Consumer Care,5,2200,88.1,4.3,3.3,average,87.4,140,30,7.4,10
V008,Panasonic India,12,3500,91.7,3.9,2.9,average,87.5,147,45,9.9,20
V009,Samsung India Electronics,14,3800,93.0,4.8,3.1,good,88.4,58,45,5.2,10
V010,LG Electronics India,14,3700,85.4,4.9,3.5,average,89.7,217,60,5.2,100
V011,Voltas Beko,10,2900,84.3,3.9,3.0,poor,93.1,241,60,9.2,100
V012,Prestige Smart Kitchen,5,2100,87.8,5.0,0.6,average,92.4,243,15,8.9,20
V013,Butterfly Gandhimathi,6,1900,92.0,4.7,1.7,good,86.0,147,60,6.2,10
V014,Pigeon by Stovekraft,4,1800,92.9,3.8,3.5,average,96.3,246,45,2.9,100
V015,Kent RO Systems,8,2700,84.5,3.7,2.9,poor,95.8,178,30,6.1,10
V016,Eureka Forbes Ltd,9,2800,95.9,4.1,2.6,good,94.1,89,45,8.1,10
V017,Videocon Industries,7,2500,91.6,4.3,0.4,good,90.4,128,30,2.5,10
V018,IFB Industries,10,3000,83.4,4.3,0.3,poor,96.4,246,30,3.0,100
V019,Godrej Appliances,8,2600,97.1,3.9,2.1,average,94.1,104,30,7.7,100
V020,Whirlpool of India,12,3400,97.9,4.5,1.8,good,92.8,80,30,3.8,50
