sku,name,category,region,qty,reorder_threshold,unit_cost,vendor_id
SKU001,Mixer Grinder,Kitchen Appliances,North,41,16,3500,V001
SKU002,Pressure Cooker,Kitchen Appliances,North,55,30,2500,V018
SKU003,Electric Kettle,Kitchen Appliances,West,65,10,800,V019
SKU004,Induction Cooktop,Kitchen Appliances,East,57,20,3000,V005
SKU005,Rice Cooker,Kitchen Appliances,North,74,29,2500,V012
SKU006,Toaster,Kitchen Appliances,West,45,22,2000,V018
SKU007,Sandwich Maker,Kitchen Appliances,Central,54,12,1200,V012
SKU008,Food Processor,Kitchen Appliances,North,42,22,4500,V008
SKU009,Wet Grinder,Kitchen Appliances,East,26,10,7000,V006
SKU010,Electric Chopper,Kitchen Appliances,North,51,27,2400,V020
SKU011,Coffee Maker,Kitchen Appliances,West,58,20,3500,V009
SKU012,Microwave Oven,Kitchen Appliances,East,64,12,5000,V013
SKU013,OTG,Kitchen Appliances,East,35,12,7000,V007
SKU014,Juicer Mixer Grinder,Kitchen Appliances,East,61,27,2800,V005
SKU015,Electric Roti Maker,Kitchen Appliances,Central,81,21,2500,V014
SKU016,Dosa Maker,Kitchen Appliances,West,36,13,2400,V003
SKU017,Idli Maker,Kitchen Appliances,West,38,22,1600,V020
SKU018,Air Fryer,Kitchen Appliances,Central,100,10,5000,V009
SKU019,Hand Blender,Kitchen Appliances,Central,73,13,3000,V009
SKU020,Electric Griller,Kitchen Appliances,West,63,26,2500,V001
SKU021,Ceiling Fan,Home Appliances,East,55,14,1500,V017
SKU022,Table Fan,Home Appliances,Central,71,25,1800,V001
SKU023,Pedestal Fan,Home Appliances,East,37,17,1800,V008
SKU024,Exhaust Fan,Home Appliances,West,98,14,600,V003
SKU025,Air Cooler,Home Appliances,South,31,14,8500,V009
SKU026,Air Conditioner,Home Appliances,South,17,8,45000,V010
SKU027,Room Heater,Home Appliances,West,61,17,3500,V004
SKU028,Water Heater Geyser,Home Appliances,Central,59,28,4000,V018
SKU029,Instant Water Heater,Home Appliances,North,38,11,2500,V008
SKU030,Washing Machine,Home Appliances,South,20,4,25000,V009
SKU031,Semi-Automatic Washing Machine,Home Appliances,West,40,12,12000,V008
SKU032,Refrigerator,Home Appliances,North,26,11,15000,V014
SKU033,Deep Freezer,Home Appliances,North,6,6,20000,V004
SKU034,Vacuum Cleaner,Home Appliances,South,98,24,3500,V007
SKU035,Iron Box,Home Appliances,East,61,12,600,V015
SKU036,Steam Iron,Home Appliances,North,31,12,1200,V018
SKU037,Sewing Machine,Home Appliances,West,21,11,8000,V016
SKU038,Air Purifier,Home Appliances,North,23,12,10000,V013
SKU039,Humidifier,Home Appliances,Central,49,16,5000,V016
SKU040,Dehumidifier,Home Appliances,Central,16,10,8000,V018
SKU041,LED TV 32 inch,Electronics,West,10,3,20000,V017
SKU042,LED TV 43 inch,Electronics,Central,12,6,20000,V003
SKU043,Smart TV 55 inch,Electronics,Central,6,7,35000,V020
SKU044,Home Theater System,Electronics,Central,15,5,18000,V019
SKU045,Soundbar,Electronics,East,46,30,5000,V013
SKU046,DVD Player,Electronics,North,88,29,3000,V001
SKU047,Set Top Box,Electronics,Central,94,18,1500,V007
SKU048,WiFi Router,Electronics,South,66,15,800,V012
SKU049,Inverter,Electronics,East,40,15,12000,V020
SKU050,UPS,Electronics,Central,36,6,8000,V010
SKU051,Stabilizer,Electronics,North,49,18,1500,V018
